Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
90;5700167217;"Revista de Economia Institucional";journal;"01245996";0,126;Q4;9;16;89;563;23;78;0,30;35,19;Colombia;Latin America;"Universidad Externado de Colombia";"2009-2021";"Economics, Econometrics and Finance (miscellaneous) (Q4)"
91;20265;"Revista Facultad de Medicina";journal;"23573848, 01200011";0,125;Q4;10;36;267;1294;84;250;0,24;35,94;Colombia;Latin America;"Universidad Nacional de Colombia";"1945-1949, 1951-1966, 1972-1974, 2007-2021";"Medicine (miscellaneous) (Q4)"
92;12100154811;"Revista Colombiana de Gastroenterologia";journal;"01209957";0,124;Q4;11;100;212;2379;53;183;0,22;23,79;Colombia;Latin America;"Asociacion Colombiana de Gastroenterologia";"2008-2021";"Gastroenterology (Q4)"
93;21100899925;"Nomadas";journal;"25394762, 01217550";0,123;Q3;2;18;99;588;13;93;0,08;32,67;Colombia;Latin America;"Instituto de Estudios Sociales Contemporaneos";"2018-2021";"Cultural Studies (Q3); Philosophy (Q3); Anthropology (Q4); Education (Q4); Psychology (miscellaneous) (Q4); Social Sciences (miscellaneous) (Q4)"
94;7600153109;"Revista de Economia del Rosario";journal;"01235362";0,123;Q4;7;8;33;328;6;33;0,29;41,00;Colombia;Latin America;"Universidad del Rosario";"2007-2021";"Economics, Econometrics and Finance (miscellaneous) (Q4)"
95;21100842860;"Revista Finanzas y Politica Economica";journal;"22486046, 20117663";0,122;Q4;4;20;65;904;10;63;0,16;45,20;Colombia;Latin America;"Catholic University of Colombia";"2015-2021";"Economics and Econometrics (Q4); Finance (Q4)"
96;12100154912;"Revista Colombiana de Cardiologia";journal;"01205633";0,121;Q4;10;105;330;2304;80;321;0,22;21,94;Colombia;Latin America;"Sociedad Colombiana de Cardiologia y Cirugia Cardiovascular";"2008-2020";"Cardiology and Cardiovascular Medicine (Q4)"
97;6000170071;"Eidos";journal;"16928857, 20117477";0,120;Q3;4;44;76;1418;7;70;0,05;32,23;Colombia;Latin America;"Universidad del Norte";"2012-2021";"Philosophy (Q3)"
98;19700169972;"Ensayos Sobre Politica Economica";journal;"01204483";0,119;Q4;8;3;23;397;9;22;0,44;132,33;Colombia;Latin America;"Banco de la Republica Colombia";"2009-2020";"Economics and Econometrics (Q4); Political Science and International Relations (Q4)"
99;19900191832;"Ideas y Valores";journal;"01200062";0,118;Q3;5;17;145;404;12;137;0,08;23,76;Colombia;Latin America;"Universidad Nacional de Colombia";"2010-2021";"Philosophy (Q3)"
100;21100229263;"Juridicas";journal;"17942918";0,118;Q4;3;16;74;687;12;69;0,15;42,94;Colombia;Latin America;"Universidad de Caldas";"2012-2021";"Law (Q4)"
101;21101040207;"Revista Facultad Nacional de Salud Publica";journal;"22563334, 0120386X";0,118;Q4;2;25;42;721;8;33;0,19;28,84;Colombia;Latin America;"Universidad de Antioquia";"2020-2021";"Epidemiology (Q4); Health Information Management (Q4); Health Policy (Q4); Public Health, Environmental and Occupational Health (Q4)"
102;14049;"Iatreia";journal;"01210793";0,116;Q4;11;63;223;1591;35;189;0,18;25,25;Colombia;Latin America;"Universidad de Antioquia";"1988-2021";"Medicine (miscellaneous) (Q4)"
103;21100812584;"Revista Republicana";journal;"19094450, 22565027";0,116;Q4;7;21;57;844;14;57;0,14;40,19;Colombia;Latin America;"Corporacion Universitaria Republicana";"2016-2021";"Law (Q4); Sociology and Political Science (Q4)"
104;21100843496;"Cuadernos de Literatura";journal;"01228102";0,112;Q2;2;29;65;743;1;61;0,00;25,62;Colombia;Latin America;"Pontificia Universidad Javeriana";"2017-2019, 2021";"Literature and Literary Theory (Q2)"
105;19200157116;"Ornitologia Colombiana";journal;"17940915";0,112;Q4;8;16;64;668;5;30;0,08;41,75;Colombia;Latin America;"Asociacion Colombiana de Ornitologia";"2009-2013, 2015-2017, 2019-2021";"Animal Science and Zoology (Q4); Ecology, Evolution, Behavior and Systematics (Q4)"
106;21100432208;"Historia Caribe";journal;"23226889, 01228803";0,111;Q3;3;24;61;796;6;53;0,08;33,17;Colombia;Latin America;"Universidad Del Atlantico";"2015-2020";"History (Q3)"
107;21100897732;"Perseitas";journal;"23461780";0,111;Q4;1;21;64;665;3;57;0,05;31,67;Colombia;Latin America;"Universidad Catolica Luis Amigo";"2018-2021";"Arts and Humanities (miscellaneous) (Q4)"
108;21100316036;"Signo y Pensamiento";journal;"01204823, 20272731";0,111;Q4;7;1;46;18;1;46;0,03;18,00;Colombia;Latin America;"Pontificia Universidad Javeriana";"2014-2020";"Communication (Q4); Linguistics and Language (Q4)"
109;21100264819;"Vniversitas";journal;"00419060, 20111711";0,111;Q4;4;9;81;505;7;77;0,10;56,11;Colombia;Latin America;"Pontificia Universidad Javeriana";"2012-2020";"Law (Q4)"
110;21100202735;"Revista Lasallista de Investigacion";journal;"17944449";0,110;Q4;9;36;108;1328;23;102;0,09;36,89;Colombia;Latin America;"Corporacion Universitaria Lasallista";"2011, 2013-2021";"Multidisciplinary (Q4)"
111;21100840936;"Revista Luna Azul";journal;"19092474, 01225391";0,110;Q4;4;0;52;0;6;50;0,05;0,00;Colombia;Latin America;"Universidad de Caldas";"2017-2020";"Education (Q4); Environmental Science (miscellaneous) (Q4)"
112;21100893284;"Conservacion Colombiana";journal;"19001592";0,107;Q4;1;0;4;0;0;4;0,00;0,00;Colombia;Latin America;"Fundacion ProAves Carrera";"2018";"Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Management, Monitoring, Policy and Law (Q4); Nature and Landscape Conservation (Q4)"
113;21101032724;"Modulo Arquitectura CUC";journal;"23897732, 01246542";0,104;Q3;1;17;8;533;0;8;0,00;31,35;Colombia;Latin America;"Universidad de la Costa";"2020-2021";"Visual Arts and Performing Arts (Q3); Architecture (Q4); Arts and Humanities (miscellaneous) (Q4); Urban Studies (Q4)"
114;21101057637;"Biosalud";journal;"16579550";0,103;Q4;0;0;9;0;0;9;0,00;0,00;Colombia;Latin America;"Universidad de Caldas";"2019";"Medicine (miscellaneous) (Q4)"
115;21101023184;"Momento";journal;"01214470, 25008013";0,103;Q4;1;12;11;221;1;10;0,09;18,42;Colombia;Latin America;"Universidad Nacional de Colombia";"2020-2021";"Electronic, Optical and Magnetic Materials (Q4); Geophysics (Q4); History and Philosophy of Science (Q4); Physical and Theoretical Chemistry (Q4); Physics and Astronomy (miscellaneous) (Q4)"
116;21100319039;"Discusiones Filosoficas";journal;"01246127";0,101;Q4;3;18;58;425;5;54;0,08;23,61;Colombia;Latin America;"Vice-Presidency for Research and Graduate, University of Caldas";"2013-2021";"Philosophy (Q4)"
117;21100903229;"Forma y Funcion";journal;"0120338X, 22565469";0,101;Q4;1;18;30;815;2;30;0,07;45,28;Colombia;Latin America;"Universidad Nacional de Colombia, Department of Linguistics";"2019-2021";"Linguistics and Language (Q4)"
118;21100371223;"Memorias";journal;"17948886";0,101;Q4;3;24;43;921;2;37;0,05;38,38;Colombia;Latin America;"Universidad del Norte";"2014-2021";"Archeology (Q4); Archeology (arts and humanities) (Q4); History (Q4)"
119;21100842562;"Estudios de Literatura Colombiana";journal;"01234412";0,100;Q4;1;16;95;282;2;87;0,01;17,63;Colombia;Latin America;"Universidad de Antioquia";"2017-2021";"Arts and Humanities (miscellaneous) (Q4); Electrical and Electronic Engineering (Q4); History (Q4); Linguistics and Language (Q4); Literature and Literary Theory (Q4)"
120;21100944295;"Literatura: Teoria, Historia, Critica";journal;"01235931, 22565450";0,100;Q4;1;39;53;647;4;51;0,08;16,59;Colombia;Latin America;"Universidad Nacional de Colombia";"2019-2021";"Literature and Literary Theory (Q4)"
121;21101056930;"Palabra";journal;"23463864, 01218530";;-;0;19;0;481;0;0;0,00;25,32;Colombia;Latin America;"Universidad Pedagogica y Tecnologica de Colombia, Instituto de Investigaciones y Formacion Avanzada";"2021";"Literature and Literary Theory"
122;21101048270;"Revista Colombiana de Cirugia";journal;"20117582, 26196107";;-;1;83;0;1793;0;0;0,00;21,60;Colombia;Latin America;"Asociacion Colombiana de Cirugia";"2021";"Surgery"
123;21101046764;"Revista Cuidarte";journal;"22160973, 23463414";;-;1;68;0;1971;0;0;0,00;28,99;Colombia;Latin America;"Universidad de Santander";"2021";"Critical Care and Intensive Care Medicine; Family Practice; Nursing (miscellaneous)"
