Rank;Sourceid;Title;Issn;SJR Best Quartile;H index;Total Docs. (2021);Country;Publisher;Coverage;Categories
94;7600153109;Revista de Economia del Rosario;1235362;Q4;7;8;Colombia;Universidad del Rosario;2007-2021;Economics, Econometrics and Finance (miscellaneous) (Q4)
95;21100842860;Revista Finanzas y Politica Economica;22486046, 20117663;Q4;4;20;Colombia;Catholic University of Colombia;2015-2021;"Economics and Econometrics (Q4); Finance (Q4)"
96;12100154912;Revista Colombiana de Cardiologia;1205633;Q4;10;105;Colombia;Sociedad Colombiana de Cardiologia y Cirugia Cardiovascular;2008-2020;Cardiology and Cardiovascular Medicine (Q4)
97;6000170071;Eidos;16928857, 20117477;Q3;4;44;Colombia;Universidad del Norte;2012-2021;Philosophy (Q3)
98;19700169972;Ensayos Sobre Politica Economica;1204483;Q4;8;3;Colombia;Banco de la Republica Colombia;2009-2020;"Economics and Econometrics (Q4); Political Science and International Relations (Q4)"
99;19900191832;Ideas y Valores;1200062;Q3;5;17;Colombia;Universidad Nacional de Colombia;2010-2021;Philosophy (Q3)
100;21100229263;Juridicas;17942918;Q4;3;16;Colombia;Universidad de Caldas;2012-2021;Law (Q4)
101;21101040207;Revista Facultad Nacional de Salud Publica;22563334, 0120386X;Q4;2;25;Colombia;Universidad de Antioquia;2020-2021;"Epidemiology (Q4); Health Information Management (Q4); Health Policy (Q4); Public Health, Environmental and Occupational Health (Q4)"
102;14049;Iatreia;1210793;Q4;11;63;Colombia;Universidad de Antioquia;1988-2021;Medicine (miscellaneous) (Q4)
103;21100812584;Revista Republicana;19094450, 22565027;Q4;7;21;Colombia;Corporacion Universitaria Republicana;2016-2021;"Law (Q4); Sociology and Political Science (Q4)"
104;21100843496;Cuadernos de Literatura;1228102;Q2;2;29;Colombia;Pontificia Universidad Javeriana;2017-2019, 2021;Literature and Literary Theory (Q2)
105;19200157116;Ornitologia Colombiana;17940915;Q4;8;16;Colombia;Asociacion Colombiana de Ornitologia;2009-2013, 2015-2017, 2019-2021;"Animal Science and Zoology (Q4); Ecology, Evolution, Behavior and Systematics (Q4)"
